k,mean_dist
5,0.044757828498045396
5,0.02019646810582948
5,0.029384774886792413
5,0.02501314126577252
5,0.027037229884452212
5,0.023260180199915104
5,0.03237089344538181
5,0.035228567150018666
5,0.038456215183949635
5,0.04618962140296291
5,0.025813056076768204
5,0.03034179174284977
5,0.029157319130601173
5,0.02554332369826474
5,0.016068690944072504
5,0.04298200181399001
5,0.035304073819959356
5,0.03023972825381525
5,0.020465484925562778
5,0.029930741654610536
5,0.03554420849433335
5,0.03110352813901241
5,0.03375648133857849
5,0.02350541652163755
5,0.03812480244355435
5,0.011455142789284908
5,0.023277187259134226
5,0.036425951669870046
5,0.0376980155666799
5,0.036062060581266174
5,0.022494670923261868
5,0.030219208676680633
5,0.036905135608026635
5,0.04126980270027239
5,0.01620030958088326
5,0.028513849657310526
5,0.0280457618067367
5,0.027953259256488026
5,0.026478718761894154
5,0.020559086717031876
5,0.012702333584697448
5,0.02567337480216888
5,0.03735892883299285
5,0.025114276465411152
5,0.030689955253495958
5,0.028140298016439653
5,0.022095557299709533
5,0.024999083848943896
5,0.02349307183113363
5,0.022463425446213586
5,0.02570298684962786
5,0.02421183833399093
5,0.036124227400336606
5,0.025867800281893106
5,0.03673977356505455
5,0.01985829845382167
5,0.025372404096093704
5,0.03932735255612517
5,0.027705852347034987
5,0.026596189872913255
5,0.020742993996728055
5,0.018903664099479623
5,0.03444770439923736
5,0.027062900450642947
5,0.04396983972880754
5,0.01908334640733931
5,0.03503836522215835
5,0.021018857644808514
5,0.03308792216888375
5,0.01898964652285016
5,0.03594185723279052
5,0.02975381645248812
5,0.03369136473655322
5,0.01908003940165357
5,0.034876018857223315
5,0.030695106658740434
5,0.03117592343927946
5,0.03567539930054341
5,0.023957642302359642
5,0.038163320508623894
5,0.03227494417723854
5,0.02942161539198187
5,0.03505666543670961
5,0.04312189452311086
5,0.043119282489121745
5,0.014750929926815159
5,0.02112762409890819
5,0.03277327754213208
5,0.03423611329720478
5,0.037498333713733664
5,0.0337263533051721
5,0.0465219340572325
5,0.03549747971930732
5,0.03233034843264243
5,0.014689133962989032
5,0.045775855030549845
5,0.0325759113078156
5,0.0202287137017003
5,0.01832856073391528
5,0.008727931640686032
5,0.017009201729992977
5,0.02812437671657218
5,0.023385799400941105
5,0.022846013256724525
5,0.03914556288121935
5,0.028813918387276073
5,0.011822569938309446
5,0.028425738214674885
5,0.028428600503574392
5,0.018219484893021713
5,0.03754895968257681
5,0.018683285737083645
5,0.03975234289750267
5,0.04155170924817907
5,0.031742295354178565
5,0.022336473608023665
5,0.0443861373197447
5,0.022099395223466774
5,0.025181221457132048
5,0.026291496754168253
5,0.023585873778692836
5,0.027429637323761174
5,0.04246327780491215
5,0.02271521017858428
5,0.023507171724649733
5,0.03400015151268941
5,0.039187442394409404
5,0.018622337800717266
5,0.03139787221962159
5,0.03855625470099598
5,0.027986169260643217
5,0.023858413985585684
5,0.028896267745862646
5,0.03979636151872416
5,0.024528217391457496
5,0.02860382426048095
5,0.023612953377899974
5,0.02862712723600581
5,0.047830355098159784
5,0.031208071373320833
5,0.032476440587952356
5,0.04044245910211114
5,0.033006219787276955
5,0.020009301855510156
5,0.01980960699221928
5,0.030993855007307856
5,0.026571325921289635
5,0.026137825910097546
5,0.030890507685771916
5,0.0341024280499872
5,0.0368421432783618
5,0.032619461820848385
5,0.03077591468881246
5,0.02443209690451851
5,0.03424822944706729
5,0.030977012673195154
5,0.03741524688025119
5,0.029012233862130116
5,0.027881662823403465
5,0.02781589857091469
5,0.02614672587577791
5,0.05259864468475163
5,0.025824875615623112
5,0.036798649346106126
5,0.036396570711197763
5,0.031251687325783956
5,0.034890582584611335
5,0.032280708832796
5,0.016414759662705773
5,0.03371036687399774
5,0.02102112831876804
5,0.030577637001595687
5,0.02308330801180951
5,0.02724361495837626
5,0.031385983235529775
5,0.028636854134761563
5,0.03440189164360075
5,0.03370993451321556
5,0.023077325502289754
5,0.02603516437518554
5,0.02806454458254882
5,0.024974522771598513
5,0.027309791792043507
5,0.016058809726006602
5,0.015070610467676174
5,0.0354902420962949
5,0.027102863318423164
5,0.025258254088372366
5,0.026468452340247344
5,0.03759847163079084
5,0.019306595543858163
5,0.026983038074205858
5,0.04888413256626192
5,0.03486114501825516
5,0.02752729265092848
5,0.03741663431479901
5,0.03785047324796485
5,0.0463783555299781
5,0.03830684251564907
5,0.032826120272083356
5,0.03962134846995051
5,0.05032675739023172
5,0.027552638370902615
5,0.03427837828235364
5,0.0316791201903668
5,0.028206137263042684
5,0.03321174581875868
5,0.031154982726161073
5,0.024348709959372793
5,0.03059593985363729
5,0.0533017356891353
5,0.014734663869660155
5,0.0359269308076053
5,0.02273324751637585
5,0.03506185354056176
5,0.014421611947371588
5,0.04002300313278333
5,0.040567887938114895
5,0.02506667895753064
5,0.02451217159579664
5,0.04529478427457519
5,0.021831793809805954
5,0.02103731725905378
5,0.035821903411216056
5,0.01884654271907696
5,0.021439782083443253
5,0.021860307461782802
5,0.02243985647317026
5,0.021539618207070167
5,0.018581446048907935
5,0.02630727489060729
5,0.011732044511373668
5,0.03611591240607388
5,0.03959169918241584
5,0.020944437488073696
5,0.03841994607935435
5,0.02342153563217514
5,0.036353910126521186
5,0.029715268536959494
5,0.03352079567848352
5,0.03778701947506221
5,0.03885887154146206
5,0.03763174140096923
5,0.0454338276672543
5,0.013517963377779565
5,0.015745544165865925
5,0.029161967318450287
5,0.0496098221774443
5,0.03764476092291004
5,0.04419823551502761
5,0.03884540419487939
5,0.028426634230476106
5,0.03096932959142775
5,0.04075195116224057
5,0.024968158893979343
5,0.04104904966559077
5,0.03186065979689388
5,0.04272505380356649
5,0.02961000803124255
5,0.037071827894600826
5,0.0317876441741597
5,0.04611997251516808
5,0.03464392882902969
5,0.02444335824918501
5,0.031708174756203945
5,0.030474991984578002
5,0.03427999547051247
5,0.021218866721404613
5,0.03998556883416008
5,0.03094083399675015
5,0.04565531066460249
5,0.03245239789563803
5,0.04157656486853788
5,0.022163464765390738
5,0.02794047074262985
5,0.022040993324001144
5,0.02616676470309796
5,0.032368141740481665
5,0.026189093505807455
5,0.03674100647659203
5,0.04136077037352544
5,0.038241321034687824
5,0.0246311237743334
5,0.03808688390518426
5,0.03620753716061732
5,0.028853414969355652
5,0.03678104385512264
5,0.03115122128269371
5,0.028256067182430917
5,0.02966911040382674
5,0.024616312645176663
5,0.0399346662976129
5,0.033290902158431834
5,0.03912570070696945
5,0.0328521679498313
5,0.03209221179289335
5,0.042233755881781895
5,0.024130011285221572
5,0.02936367621282938
5,0.01597540178366367
5,0.020210736384727097
5,0.026121063686653255
5,0.036179895043142576
5,0.021219969149139366
